session,trial,rat,RL,laggedRL,signalDuration,laggedsignalDuration,response,laggedResponse,hit,miss,cr,fa,incongHit,congHit
1.0,2.0,3.0,0.058,0.060000000000000005,0.0,25.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,3.0,3.0,0.045000000000000005,0.058,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,4.0,3.0,0.039,0.045000000000000005,0.025,500.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,5.0,3.0,0.037000000000000005,0.039,0.0,25.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,6.0,3.0,0.068,0.037000000000000005,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,7.0,3.0,0.049,0.068,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,8.0,3.0,0.048,0.049,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,9.0,3.0,0.058,0.048,0.05,500.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,10.0,3.0,0.051000000000000004,0.058,0.0,50.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,11.0,3.0,0.044000000000000004,0.051000000000000004,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,12.0,3.0,0.189,0.044000000000000004,0.05,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,13.0,3.0,0.051000000000000004,0.189,0.0,50.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,14.0,3.0,0.042,0.051000000000000004,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,15.0,3.0,0.076,0.042,0.0,500.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,16.0,3.0,0.07,0.076,0.025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,17.0,3.0,0.068,0.07,0.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,18.0,3.0,0.052000000000000005,0.068,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,19.0,3.0,0.051000000000000004,0.052000000000000005,0.025,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,20.0,3.0,0.042,0.051000000000000004,0.5,25.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,21.0,3.0,0.101,0.042,0.0,500.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,22.0,3.0,0.035,0.101,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,23.0,3.0,0.01,0.035,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,24.0,3.0,0.055,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,25.0,3.0,0.136,0.055,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,26.0,3.0,0.098,0.136,0.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,27.0,3.0,0.041,0.098,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,28.0,3.0,0.045000000000000005,0.041,0.05,500.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,29.0,3.0,0.037000000000000005,0.045000000000000005,0.025,50.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,30.0,3.0,0.14,0.037000000000000005,0.0,25.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,31.0,3.0,0.085,0.14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,32.0,3.0,0.097,0.085,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,33.0,3.0,0.052000000000000005,0.097,0.025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,34.0,3.0,0.065,0.052000000000000005,0.05,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,35.0,3.0,0.033,0.065,0.5,50.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,36.0,3.0,0.079,0.033,0.0,500.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,37.0,3.0,0.003,0.079,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,38.0,3.0,0.077,0.003,0.5,50.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,39.0,3.0,0.10300000000000001,0.077,0.025,500.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,40.0,3.0,0.041,0.10300000000000001,0.5,25.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,41.0,3.0,0.093,0.041,0.025,500.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,42.0,3.0,0.055,0.093,0.05,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,43.0,3.0,0.082,0.055,0.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,44.0,3.0,0.047,0.082,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,45.0,3.0,0.061000000000000006,0.047,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,46.0,3.0,0.048,0.061000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,47.0,3.0,0.041,0.048,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,48.0,3.0,0.051000000000000004,0.041,0.0,50.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,49.0,3.0,0.001,0.051000000000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,50.0,3.0,0.061000000000000006,0.001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,51.0,3.0,0.003,0.061000000000000006,0.025,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,52.0,3.0,0.048,0.003,0.5,25.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,53.0,3.0,0.039,0.048,0.0,500.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,54.0,3.0,0.011000000000000001,0.039,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,55.0,3.0,0.062,0.011000000000000001,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,56.0,3.0,0.051000000000000004,0.062,0.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,57.0,3.0,0.060000000000000005,0.051000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,58.0,3.0,0.059000000000000004,0.060000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,59.0,3.0,0.042,0.059000000000000004,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,60.0,3.0,0.051000000000000004,0.042,0.025,500.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,61.0,3.0,0.049,0.051000000000000004,0.5,25.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,62.0,3.0,0.003,0.049,0.0,500.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,63.0,3.0,0.067,0.003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,64.0,3.0,0.08700000000000001,0.067,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,65.0,3.0,0.14300000000000002,0.08700000000000001,0.025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,66.0,3.0,0.012,0.14300000000000002,0.025,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,67.0,3.0,0.079,0.012,0.0,25.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,68.0,3.0,0.163,0.079,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,69.0,3.0,0.043000000000000003,0.163,0.05,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,70.0,3.0,0.038,0.043000000000000003,0.5,50.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,71.0,3.0,0.201,0.038,0.0,500.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,72.0,3.0,0.041,0.201,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,73.0,3.0,0.044000000000000004,0.041,0.05,50.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,74.0,3.0,0.061000000000000006,0.044000000000000004,0.0,50.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,75.0,3.0,0.041,0.061000000000000006,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,76.0,3.0,0.328,0.041,0.5,500.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,77.0,3.0,0.186,0.328,0.0,500.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,78.0,3.0,0.045000000000000005,0.186,0.05,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,79.0,3.0,0.041,0.045000000000000005,0.5,50.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,80.0,3.0,0.075,0.041,0.0,500.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,81.0,3.0,0.045000000000000005,0.075,0.025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,82.0,3.0,0.054,0.045000000000000005,0.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,83.0,3.0,0.04,0.054,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,84.0,3.0,0.129,0.04,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,85.0,3.0,0.008,0.129,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,86.0,3.0,0.007,0.008,0.025,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,87.0,3.0,0.068,0.007,0.05,25.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,88.0,3.0,0.044000000000000004,0.068,0.025,50.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,89.0,3.0,0.092,0.044000000000000004,0.0,25.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,90.0,3.0,0.066,0.092,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,91.0,3.0,0.038,0.066,0.025,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,92.0,3.0,0.101,0.038,0.5,25.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,93.0,3.0,0.012,0.101,0.0,500.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,94.0,3.0,0.11900000000000001,0.012,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,95.0,3.0,0.063,0.11900000000000001,0.0,500.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,96.0,3.0,0.252,0.063,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,97.0,3.0,0.059000000000000004,0.252,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,98.0,3.0,0.10400000000000001,0.059000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,99.0,3.0,0.111,0.10400000000000001,0.05,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,100.0,3.0,0.060000000000000005,0.111,0.05,50.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,101.0,3.0,0.043000000000000003,0.060000000000000005,0.025,50.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,102.0,3.0,0.045000000000000005,0.043000000000000003,0.0,25.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,103.0,3.0,0.056,0.045000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,104.0,3.0,0.04,0.056,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,105.0,3.0,0.013000000000000001,0.04,0.05,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,106.0,3.0,0.041,0.013000000000000001,0.025,50.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,107.0,3.0,0.053000000000000005,0.041,0.0,25.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,108.0,3.0,0.002,0.053000000000000005,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,109.0,3.0,0.005,0.002,0.0,500.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,110.0,3.0,0.052000000000000005,0.005,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,111.0,3.0,0.049,0.052000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,112.0,3.0,0.043000000000000003,0.049,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,113.0,3.0,0.014,0.043000000000000003,0.0,500.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,114.0,3.0,0.041,0.014,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,115.0,3.0,0.069,0.041,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,118.0,3.0,0.045000000000000005,0.043000000000000003,0.05,500.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,119.0,3.0,0.032,0.045000000000000005,0.0,50.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,120.0,3.0,0.098,0.032,0.025,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,121.0,3.0,0.116,0.098,0.025,25.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,122.0,3.0,0.10400000000000001,0.116,0.05,25.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,123.0,3.0,0.041,0.10400000000000001,0.5,50.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,124.0,3.0,0.043000000000000003,0.041,0.0,500.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,125.0,3.0,0.036000000000000004,0.043000000000000003,0.025,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,126.0,3.0,0.051000000000000004,0.036000000000000004,0.05,25.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,127.0,3.0,0.047,0.051000000000000004,0.05,50.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,128.0,3.0,0.048,0.047,0.05,50.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,129.0,3.0,0.046,0.048,0.0,50.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,130.0,3.0,0.032,0.046,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,131.0,3.0,0.041,0.032,0.0,500.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,132.0,3.0,0.091,0.041,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,133.0,3.0,0.031,0.091,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,134.0,3.0,0.047,0.031,0.025,500.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,135.0,3.0,0.009000000000000001,0.047,0.0,25.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,136.0,3.0,0.059000000000000004,0.009000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,137.0,3.0,0.29600000000000004,0.059000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,138.0,3.0,0.07200000000000001,0.29600000000000004,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,139.0,3.0,0.17600000000000002,0.07200000000000001,0.5,50.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,140.0,3.0,0.052000000000000005,0.17600000000000002,0.0,500.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,141.0,3.0,0.036000000000000004,0.052000000000000005,0.025,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,142.0,3.0,0.04,0.036000000000000004,0.0,25.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,143.0,3.0,0.05,0.04,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,144.0,3.0,0.063,0.05,0.025,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,145.0,3.0,0.062,0.063,0.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,146.0,3.0,0.049,0.062,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,147.0,3.0,0.017,0.049,0.025,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,148.0,3.0,0.08600000000000001,0.017,0.0,25.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,149.0,3.0,0.044000000000000004,0.08600000000000001,0.05,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,150.0,3.0,0.063,0.044000000000000004,0.05,50.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,151.0,3.0,0.039,0.063,0.05,50.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,152.0,3.0,0.059000000000000004,0.039,0.025,50.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,153.0,3.0,0.082,0.059000000000000004,0.0,25.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,154.0,3.0,0.051000000000000004,0.082,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,155.0,3.0,0.169,0.051000000000000004,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,156.0,3.0,0.034,0.169,0.0,500.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,157.0,3.0,0.056,0.034,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,158.0,3.0,0.058,0.056,0.025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
